Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;3;3;13;2;1;1;0,264069867;0,210375004;0,325814637;0,029521868
E;4;3;13;2;1;1;0,053963673;0,040159619;0,072155895;0,008072798
E;5;4;13;2;1;1;0,238937184;0,197533982;0,285926414;0,022569682
E;6;4;13;2;1;1;0,410313085;0,357303419;0,465491173;0,027703516
E;1;2;14;2;1;1;0,092719024;0,067897894;0,125393236;0,014530774
E;2;2;14;2;1;1;0,015376547;0,008541433;0,027529453;0,004594811
E;3;3;14;2;1;1;0,441162781;0,371951162;0,512738933;0,03615194
E;4;3;14;2;1;1;0,111501719;0,085648114;0,14393098;0,014783311
E;5;4;14;2;1;1;0,223141275;0,184067187;0,267787766;0,021365981
E;6;4;14;2;1;1;0,388978169;0,337315907;0,443260345;0,027122626
E;1;2;15;2;1;1;0,091895024;0,06735744;0,124181186;0,014360931
E;2;2;15;2;1;1;0,015228358;0,008467395;0,027239445;0,00454315
E;3;3;15;2;1;1;0,162259975;0,120722059;0,214601941;0,023864483
E;4;3;15;2;1;1;0,029870552;0,021088515;0,042152276;0,005280501
E;5;4;15;2;1;1;0,131315534;0,104468147;0,163800477;0,015083006
E;6;4;15;2;1;1;0,25095359;0,209174675;0,29793338;0,02266975
E;1;2;16;2;1;1;0,140404224;0,107719701;0,180994298;0,018615407
E;2;2;16;2;1;1;0,02435233;0,013894749;0,042342623;0,006931145
E;3;3;16;2;1;1;0,40909449;0,341345961;0,480480419;0,035716761
E;4;3;16;2;1;1;0,099145225;0,075514672;0,129137482;0,013586513
E;5;4;16;2;1;1;0,162888779;0,131476886;0,20007663;0,017467055
E;6;4;16;2;1;1;0,301314665;0,254207702;0,353018957;0,02526828
E;1;2;17;2;1;1;0,111226929;0,083442753;0,146780932;0,016048601
E;2;2;17;2;1;1;0,018765218;0,01056869;0,033105851;0,005471577
E;3;3;17;2;1;1;0,516819458;0,447661167;0,585339404;0,035346219
E;4;3;17;2;1;1;0,145325433;0,113511784;0,184202693;0,017972854
E;5;4;17;2;1;1;0,180790909;0,147287484;0,219949573;0,01851606
E;6;4;17;2;1;1;0,328460945;0,279898525;0,380991142;0,02586243
E;1;2;18;2;1;1;0,075755988;0,055414301;0,102752503;0,01194755
E;2;2;18;2;1;1;0,012370464;0,006885713;0,022126707;0,003686432
E;3;3;18;2;1;1;0,564398425;0,497074736;0,629428543;0,033959504
E;4;3;18;2;1;1;0,170793219;0,135292252;0,213311698;0,019866104
E;5;4;18;2;1;1;0,152504556;0,124147541;0,185963462;0,015736205
