Index;Value;Cl-;Cl+;SE ;beta;t
82;3,060522508;2,543699167;3,57734585;0,263685378;s_wint;2004
83;3,047259766;2,529512586;3,565006945;0,264156724;s_wint;2005
84;3,143805211;2,621261759;3,666348664;0,266603802;s_wint;2006
85;3,003196135;2,499174337;3,507217933;0,257153979;s_wint;2007
86;2,774775849;2,440497329;3,10905437;0,170550265;s_wint;2008
87;2,69844033;2,357894864;3,038985796;0,173747687;s_wint;2009
88;2,696682043;2,372725976;3,020638111;0,165283708;s_wint;2010
89;3,227580731;2,880525265;3,574636197;0,177069115;s_wint;2011
90;2,897299912;2,540619671;3,253980152;0,181979714;s_wint;2012
91;2,641221644;2,285766099;2,996677189;0,18135487;s_wint;2013
92;2,561823718;2,211805722;2,911841714;0,17858061;s_wint;2014
93;3,085315107;2,703583465;3,467046749;0,194761042;s_wint;2015
94;2,809039608;2,443224373;3,174854844;0,186640426;s_wint;2016
95;2,886655546;2,508163081;3,265148012;0,193108401;s_wint;2017
96;3,04952736;2,672902477;3,426152244;0,192155553;s_wint;2018
97;3,904756075;3,316427098;4,493085052;0,300167846;s_spr;1991
98;10,50926597;10,18477568;10,83375626;0,165556271;s_spr;1992
99;2,700956993;1,013057734;4,388856253;0,861173092;s_spr;1993
100;6,390263433;4,63043457;8,150092297;0,897871869;s_spr;1994
101;3,084731019;1,764650251;4,404811788;0,673510596;s_spr;1995
102;2,486734893;1,820830815;3,152638971;0,339746979;s_spr;1996
103;3,364069367;2,064228262;4,663910471;0,663184237;s_spr;1997
104;3,380525752;2,310886433;4,45016507;0,545734346;s_spr;1998
105;2,070593662;1,666800402;2,474386921;0,206016969;s_spr;1999
106;2,335651615;1,877678368;2,793624862;0,23365982;s_spr;2000
107;2,746704733;2,289049756;3,20435971;0,233497437;s_spr;2001
108;2,346089596;1,930459108;2,761720083;0,212056371;s_spr;2002
109;2,843351779;2,233652125;3,453051433;0,311071252;s_spr;2003
110;2,617693027;2,118033649;3,117352404;0,254928254;s_spr;2004
111;2,695719279;2,237505591;3,153932967;0,233782494;s_spr;2005
112;2,600323411;2,1292951;3,071351722;0,240320567;s_spr;2006
113;2,563465837;2,085680336;3,041251337;0,243768113;s_spr;2007
114;2,704477926;2,201335092;3,20762076;0,256705528;s_spr;2008
115;3,124891599;2,611635843;3,638147356;0,261865182;s_spr;2009
116;3,549881725;3,038486859;4,061276591;0,260915748;s_spr;2010
117;3,205554071;2,708104563;3,703003579;0,253800769;s_spr;2011
118;2,947071961;2,502957536;3,391186385;0,226588992;s_spr;2012
119;3,614924362;3,081744291;4,148104434;0,272030649;s_spr;2013
120;3,801600478;3,224994837;4,378206118;0,294186551;s_spr;2014
121;3,497001233;2,977679216;4,01632325;0,264960213;s_spr;2015
122;3,030310473;2,518355203;3,542265742;0,261201668;s_spr;2016
123;3,015125345;2,517995564;3,512255126;0,253637643;s_spr;2017
124;3,191123685;2,671406672;3,710840699;0,265161742;s_spr;2018
125;3,605524264;3,020084889;4,19096364;0,298693559;s_spr;2019
126;0,011242776;-0,789382786;0,811868338;0,408482429;col_ete_2;
127;-0,012377652;-0,304272146;0,279516842;0,148925762;col_fall_2;
128;-0,634987064;-0,928000577;-0,34197355;0,14949669;col_wint_2;
129;0,013389502;-0,247508483;0,274287486;0,133111216;col_spr_2;
130;-0,001099878;-0,694527738;0,692327982;0,353789724;col_ete_3;
131;-0,19188499;-0,529670814;0,145900835;0,172339706;col_fall_3;
132;-0,927414223;-1,120447745;-0,734380702;0,098486491;col_wint_3;
133;-0,448284979;-0,835277614;-0,061292344;0,197445222;col_spr_3;
134;-1,988927892;-2,528626892;-1,449228892;0,275356633;pcap_heterog.;
135;1,005882295;0,851192691;1,1605719;0,078923268;pcap_sex;
136;-3,362004594;-4,667063736;-2,056945452;0,665846501;pcap;
137;-4,233865487;-5,318240681;-3,149490294;0,55325265;pcap;
138;-3,296893602;-3,878804676;-2,714982529;0,296893405;pcap;
139;-2,858321315;-3,294388956;-2,422253674;0,22248349;pcap;
140;-3,351420759;-3,773909587;-2,928931931;0,215555525;pcap;
141;-3,109541565;-3,495584104;-2,723499027;0,196960479;pcap;
142;-3,351255057;-3,731857871;-2,970652242;0,194185109;pcap;
143;-3,003959953;-3,344388149;-2,663531756;0,173687855;pcap;
144;-4,468474539;-4,986568846;-3,950380231;0,26433383;pcap;
145;-3,101638671;-3,455027616;-2,748249726;0,180300482;pcap;
146;-3,397348038;-3,762146962;-3,032549114;0,1861219;pcap;
147;-3,785560601;-4,189118552;-3,382002651;0,205896914;pcap;
148;-3,131111797;-3,471354099;-2,790869494;0,173593012;pcap;
149;-3,247312133;-3,601774668;-2,892849598;0,180848232;pcap;
150;-2,683264819;-3,005176641;-2,361352997;0,164240726;pcap;
151;-2,870060633;-3,19813598;-2,541985285;0,167385381;pcap;
152;-3,251579303;-3,587807417;-2,915351189;0,171544956;pcap;
153;-3,74703246;-4,128552786;-3,365512134;0,194653228;pcap;
154;-2,914855329;-3,245080425;-2,584630233;0,168482192;pcap;
155;-3,625905529;-4,000359385;-3,251451672;0,191047886;pcap;
156;-3,393228978;-3,741182702;-3,045275254;0,17752741;pcap;
157;-3,703053375;-4,091497143;-3,314609606;0,198185596;pcap;
158;-3,215793474;-3,554380311;-2,877206637;0,172748386;pcap;
159;-4,070927147;-4,465989783;-3,67586451;0,20156257;pcap;
160;-3,683836356;-4,073076492;-3,294596221;0,198591906;pcap;
161;-3,039979946;-3,375971156;-2,703988735;0,171424087;pcap;
162;-3,093916099;-3,439033156;-2,748799043;0,176080131;pcap;
163;-3,44114066;-3,826084526;-3,056196794;0,196399932;pcap;
164;-3,54326584;-3,967470587;-3,119061092;0,216430994;pcap;
165;-0,089710864;-1,5568057;1,377383973;0,748517774;recov_fall1;
166;-0,559784489;-1,684422161;0,564853184;0,573794731;recov_fall2;
167;-1,368098581;-1,982237036;-0,753960125;0,313335947;recov_fall3;
168;0,060614833;-0,631530435;0,752760101;0,353135341;recov_winter1;
169;-1,5401854;-2,009143956;-1,071226845;0,239264569;recov_winter2;
170;-1,566790002;-2,017316062;-1,116263942;0,229860235;recov_winter3;
171;-0,265237782;-0,776509301;0,246033737;0,260852816;recov_sp_d2;
172;-0,987619734;-1,514276206;-0,460963262;0,268702282;recov_sp_d3;
173;-2,065591977;-2,248728028;-1,882455925;0,093436761;col_obs_het_all_eq;
174;-1,909633229;-3,500023076;-0,319243383;0,811423391;col_obs;
175;-4,675831634;-7,522247679;-1,829415588;1,452253085;col_obs;
176;-2,555956727;-3,456132683;-1,65578077;0,459273447;col_obs;
177;-2,003309816;-2,518464727;-1,488154904;0,262834138;col_obs;
178;-2,105785287;-2,577971407;-1,633599167;0,240911286;col_obs;
179;-1,963364501;-2,385054263;-1,54167474;0,215147838;col_obs;
180;-1,636315397;-1,994553856;-1,278076938;0,182774724;col_obs;
181;0,383809533;0,088086464;0,679532603;0,150879117;col_obs;
182;-1,667948202;-2,050689597;-1,285206808;0,195276222;col_obs;
183;-0,554877144;-0,895565284;-0,214189004;0,17382048;col_obs;
184;-1,157516035;-1,503709717;-0,811322353;0,17662943;col_obs;
185;-1,342085919;-1,691321763;-0,992850075;0,178181553;col_obs;
186;-0,490726004;-0,832855449;-0,148596559;0,174555839;col_obs;
187;-1,86094913;-2,274503724;-1,447394537;0,210997242;col_obs;
188;-0,61394526;-0,923858521;-0,304031999;0,158119011;col_obs;
189;-0,171471865;-0,469017044;0,126073314;0,151808765;col_obs;
190;0,064691315;-0,259343751;0,38872638;0,165324013;col_obs;
191;0,33320506;-0,024085809;0,690495929;0,18229126;col_obs;
192;0,403446683;0,103924654;0,702968713;0,152817362;col_obs;
193;-1,417328749;-1,852596496;-0,982061002;0,222075381;col_obs;
194;-1,236788365;-1,678941467;-0,794635263;0,225588317;col_obs;
195;-1,262336104;-1,708410538;-0,81626167;0,227588997;col_obs;
196;-0,907543499;-1,282703977;-0,532383021;0,191408407;col_obs;
197;-0,783951371;-1,196843758;-0,371058985;0,210659381;col_obs;
198;-1,059319498;-1,641982253;-0,476656743;0,297276916;col_obs;
199;-0,489510002;-1,044348424;0,065328421;0,283080828;col_obs;
200;-0,733105851;-1,183480681;-0,28273102;0,229783077;col_obs;
201;-0,680441477;-1,150475782;-0,210407171;0,239813421;col_obs;
202;-0,300929043;-0,721126123;0,119268036;0,214386265;col_obs;
203;-2,012519898;-2,100485863;-1,924553934;0,044880594;het_obs_fall;
204;-0,747805233;-1,618069184;0,122458718;0,44401222;col_obs;
205;-1,151834929;-1,697717363;-0,605952496;0,278511446;col_obs;
206;0,110769014;-0,288899613;0,510437642;0,203912565;col_obs;
207;-0,481396606;-0,789547568;-0,173245645;0,157219878;col_obs;
208;0,158670267;-0,106116084;0,423456618;0,135095077;col_obs;
209;0,688719736;0,45024158;0,927197893;0,121672529;col_obs;
210;0,3182752;0,093350946;0,543199453;0,114757272;col_obs;
211;-0,154971261;-0,366089058;0,056146536;0,107713162;col_obs;
