Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;19;4;48;2;1;1;0,779795799;0,506049877;0,924474344;0,108659773
E;1;2;49;2;1;1;0,023021852;0,015440582;0,034196209;0,004672504
E;2;2;49;2;1;1;0,003112244;0,001508533;0,006409903;0,001148918
E;19;4;49;2;1;1;0,233063929;0,161908555;0,323422869;0,041312457
E;19;4;51;2;1;1;0,13046711;0,091112865;0,183389775;0,023342378
E;19;4;52;2;1;1;0,67101491;0,494491071;0,809627943;0,082761937
E;1;2;53;2;1;1;0,04285945;0,031046927;0,058893152;0,00700506
E;2;2;53;2;1;1;0,005897581;0,002986743;0,011612241;0,002043852
E;19;4;53;2;1;1;0,089670973;0,055143456;0,14255576;0,021800067
E;19;4;55;2;1;1;0,216177761;0,150045152;0,301131514;0,038571697
E;19;4;56;2;1;1;0,389572549;0,233486207;0,572121232;0,089737752
E;1;2;57;2;1;1;0,036327241;0,025716362;0,051086727;0,006365505
E;2;2;57;2;1;1;0,004969482;0,002499371;0,009856664;0,001740151
E;19;4;57;2;1;1;0,131672151;0,086486932;0,195414533;0,027478228
E;19;4;59;2;1;1;0,185500423;0,124716017;0,266877237;0,036153092
E;19;4;60;2;1;1;0,579644414;0,403512055;0,737590081;0,088532751
E;1;2;61;2;1;1;0,063242734;0,046491137;0,085489071;0,009836864
E;2;2;61;2;1;1;0,008865193;0,004513198;0,017340639;0,003046208
E;19;4;61;2;1;1;0,138262842;0,087729006;0,211167383;0,03111727
E;19;4;63;2;1;1;0,193685297;0,136008457;0,268227729;0,033672959
E;19;4;64;2;1;1;0,590652899;0,377614796;0,774345789;0,106871326
E;1;2;65;2;1;1;0,053191253;0,03893417;0,072276433;0,008401386
E;2;2;65;2;1;1;0,007388042;0,003756705;0,01447852;0,002544158
E;19;4;65;2;1;1;0,155326502;0,099426851;0,234471498;0,034151432
E;19;4;67;2;1;1;0,187742987;0,134065984;0,256544051;0,031178631
E;19;4;68;2;1;1;0,526348054;0,401939433;0,647568998;0,06396481
E;1;2;69;2;1;1;0,036737458;0,026326906;0,051048861;0,006210111
E;2;2;69;2;1;1;0,005027447;0,002530797;0,009962459;0,00175812
E;19;4;69;2;1;1;0,140289539;0,093173124;0,205824236;0,028466349
E;19;4;71;2;1;1;0,182878273;0,126890672;0,256317035;0,032918713
E;19;4;72;2;1;1;0,613198246;0,428148883;0,770468705;0,090782235
E;1;2;73;2;1;1;0,023287227;0,015959584;0,033863488;0,004471466
E;2;2;73;2;1;1;0,003148859;0,001556081;0,006361588;0,001131407
E;19;4;73;2;1;1;0,131181134;0,085205992;0,196631194;0,028090277
E;19;4;75;2;1;1;0,189222547;0,135872975;0,257282658;0,030912783
E;19;4;76;2;1;1;0,452644008;0,357471561;0,551409775;0,050102848
E;1;2;77;2;1;1;0,05067484;0,037539563;0,068081103;0,007701417
E;2;2;77;2;1;1;0,007022451;0,003597209;0,013664465;0,002392205
E;19;4;77;2;1;1;0,268091622;0,184859251;0,371710198;0,047997402
E;19;4;79;2;1;1;0,172888886;0,125604047;0,23322656;0,027367318
E;19;4;80;2;1;1;0,484623118;0,388906154;0,581481635;0,04974698
E;1;2;81;2;1;1;0,025334366;0,017825356;0,03589099;0,004525469
E;2;2;81;2;1;1;0,00343189;0,001706143;0,006891162;0,001222526
E;19;4;81;2;1;1;0,179027662;0,113952637;0,269943222;0,03959662
E;19;4;83;2;1;1;0,145014794;0,104510538;0,197750383;0,023647967
E;19;4;84;2;1;1;0,495025964;0,404919032;0,585457174;0,046565997
E;1;2;85;2;1;1;0,032037791;0,022523995;0,045383495;0,005729441
E;2;2;85;2;1;1;0,004365921;0,002143518;0,008872027;0,001582635
E;19;4;85;2;1;1;0,256323981;0,179574145;0,351810316;0,044161288
E;19;4;87;2;1;1;0,20862272;0,149583765;0,283203684;0,034083063
E;19;4;88;2;1;1;0,321088985;0,251309423;0,399894983;0,038133837
E;1;2;89;2;1;1;0,024153557;0,016686251;0,03484416;0,004539295
E;2;2;89;2;1;1;0,003268509;0,001593875;0,006690838;0,001196494
E;19;4;89;2;1;1;0,36446319;0,271429402;0,468863728;0,050974859
E;19;4;91;2;1;1;0,122212681;0,085117255;0,172427922;0,022064232
E;19;4;92;2;1;1;0,442321851;0,342614391;0,546905856;0,052848603
E;1;2;93;2;1;1;0,041393829;0,030147394;0,056590924;0,006654504
E;2;2;93;2;1;1;0,005688396;0,002865493;0,011260837;0,001986893
E;19;4;93;2;1;1;0,187305878;0,114058199;0,292084582;0,045226406
E;19;4;95;2;1;1;0,125375603;0,087809912;0,175912942;0,022277823
E;19;4;96;2;1;1;0,523869033;0,419105658;0,626573139;0,053703175
E;1;2;97;2;1;1;0,017696157;0,012054872;0,025908147;0,00345536
E;2;2;97;2;1;1;0,002381057;0,001164644;0,004861767;0,000868165
E;19;4;97;2;1;1;0,145521225;0,086297764;0,234937434;0,037400589
E;19;4;99;2;1;1;0,182465047;0,126718999;0,255558164;0,032768297
E;19;4;100;2;1;1;0,527833201;0,41602463;0,636917575;0,057291604
E;1;2;101;2;1;1;0,023822056;0,016403163;0,034478777;0,004516949
E;2;2;101;2;1;1;0,003222703;0,001573694;0,006588238;0,001177491
E;19;4;101;2;1;1;0,181988678;0,113945272;0,277919938;0,041632281
E;19;4;103;2;1;1;0,207673159;0,144046857;0,289885546;0,037196283
E;19;4;104;2;1;1;0,305299721;0,241478207;0,377592201;0,034887564
E;1;2;105;2;1;1;0,043217933;0,031507802;0,059015031;0,006923726
E;2;2;105;2;1;1;0,005948831;0,003000725;0,011759187;0,002073634
E;19;4;105;2;1;1;0,27462679;0,197246404;0,368431313;0,043939439
E;19;4;107;2;1;1;0,170479819;0,121394267;0,234124174;0,028648527
E;19;4;108;2;1;1;0,418292004;0,321054957;0,522322701;0,052033931
E;1;2;109;2;1;1;0,040988182;0,029568926;0,056560422;0,006786608
E;2;2;109;2;1;1;0,005630596;0,002813573;0,011236317;0,001989861
E;19;4;109;2;1;1;0,29053083;0,176799155;0,438456448;0,067870988
E;19;4;111;2;1;1;0,160299031;0,111014296;0,2259037;0,029146915
E;19;4;112;2;1;1;0,403585908;0,30538695;0,510169494;0,052958565
E;1;2;113;2;1;1;0,029480099;0,020533733;0,042156554;0,005413064
E;2;2;113;2;1;1;0,004008226;0,001964428;0,008161011;0,001456726
E;19;4;113;2;1;1;0,2534977;0,157909422;0,380783995;0,0573331
E;19;4;115;2;1;1;0,124367755;0,082024081;0,184184807;0,025750228
E;19;4;116;2;1;1;0,31329083;0,198433507;0,456747371;0,067103267
E;1;2;117;2;1;1;0,02579151;0,017788903;0,037257653;0,004866959
E;2;2;117;2;1;1;0,003495233;0,001706136;0,007146992;0,001277632
E;19;4;117;2;1;1;0,158728499;0,087091796;0,271749212;0,046461124
E;19;4;119;2;1;1;0,00000886;0,000006121;0,000012824;0,000001672
E;3;3;2;2;2;1;0,306934195;0,168576795;0,491691862;0,084792418
E;7;3;2;2;2;1;0,056040445;0,026382225;0,1150982;0,021168566
E;3;3;3;2;2;1;0,421074908;0,26634904;0,593028925;0,086422158
E;5;3;3;2;2;1;0,120103847;0,061155258;0,22241292;0,039887705
E;3;3;4;2;2;1;0,000041419;0,00003988;0,000043018;0,0000008
E;4;3;4;2;2;1;0,000007228;0,000005468;0,000009555;0,000001029
E;1;2;5;2;2;1;0,07684571;0,022585081;0,230698414;0,046387269
E;2;2;5;2;2;1;0,010908219;0,002721357;0,04267043;0,007688037
E;3;3;5;2;2;1;0,118295129;0,032248199;0,350729052;0,074119904
E;11;3;5;2;2;1;0,016767845;0,004153791;0,065180513;0,011845088
E;3;3;6;2;2;1;0,237041004;0,15559621;0,343761598;0,048202321
E;7;3;6;2;2;1;0,039983284;0,02398192;0,065939871;0,010334309
E;3;3;7;2;2;1;0,043928905;0,015989192;0,11498574;0,022273783
E;5;3;7;2;2;1;0,00854909;0,00294696;0,024538692;0,004630169
E;3;3;8;2;2;1;0,068745514;0,030863807;0,146112666;0,027459817
E;4;3;8;2;2;1;0,012718394;0,005279096;0,030321588;0,005681247
E;1;2;9;2;2;1;0,038105415;0,013340144;0,104000009;0,020103246
E;2;2;9;2;2;1;0,005221049;0,001557875;0,017348116;0,003214455
E;3;3;9;2;2;1;0,009611204;0,000515966;0,154284727;0,014248061
E;11;3;9;2;2;1;0,00123201;0,000065159;0,022817656;0,001846201
E;3;3;10;2;2;1;0,503716846;0,416425286;0,590782406;0,044937961
E;7;3;10;2;2;1;0,119765739;0,086955063;0,162750031;0,019188036
E;3;3;11;2;2;1;0,06614087;0,035194261;0,120889495;0,020909295
E;5;3;11;2;2;1;0,013117244;0,006433845;0,026557702;0,00474946
E;3;3;12;2;2;1;0,246750465;0,183357182;0,323382071;0,035821314
E;4;3;12;2;2;1;0,054074357;0,033358359;0,086504002;0,013171614
E;1;2;13;2;2;1;0,080283358;0,04744646;0,132680648;0,021135776
E;2;2;13;2;2;1;0,011432722;0,005148406;0,025193625;0,004636878
E;3;3;13;2;2;1;0,066824295;0,029552562;0,14412211;0,027204349
E;11;3;13;2;2;1;0,009020142;0,003773435;0,021405291;0,003998529
E;3;3;14;2;2;1;0,371994062;0,305450268;0,443772173;0,035495701
E;7;3;14;2;2;1;0,073563958;0,055347704;0,09715898;0,010570281
E;3;3;15;2;2;1;0,043793725;0,024104495;0,078275691;0,01319247
E;5;3;15;2;2;1;0,008521812;0,004345902;0,016643216;0,002921
E;3;3;16;2;2;1;0,337650027;0,278448082;0,402419105;0,031765057
E;4;3;16;2;2;1;0,081692581;0,05394751;0,121868738;0,01702154
E;1;2;17;2;2;1;0,131406269;0,090618853;0,186781348;0,024313884
E;2;2;17;2;2;1;0,019649553;0,009721135;0,039315514;0,007015715
E;3;3;17;2;2;1;0,121134012;0,077099647;0,185269278;0,027195656
E;11;3;17;2;2;1;0,017217825;0,010077944;0,029266522;0,004686483
E;3;3;18;2;2;1;0,526951369;0,463272826;0,589764982;0,03244167
E;7;3;18;2;2;1;0,129926588;0,1033342;0,162125012;0,014944338
E;3;3;19;2;2;1;0,062255484;0,040562532;0,094408309;0,013441383
E;5;3;19;2;2;1;0,012305639;0,007227644;0,020876306;0,003331696
E;3;3;20;2;2;1;0,355849106;0,299704201;0,416259998;0,029854874
E;4;3;20;2;2;1;0,08792716;0,058767345;0,129564119;0,017773756
E;1;2;21;2;2;1;0,086038468;0,059000451;0,12383652;0,016305047
E;2;2;21;2;2;1;0,012318381;0,00609003;0,024757876;0,004411808
E;3;3;21;2;2;1;0,110527136;0,073735269;0,162457303;0,022336179
E;11;3;21;2;2;1;0,015549191;0,009541708;0,025242605;0,003861373
E;3;3;22;2;2;1;0,658344562;0,603933202;0,708884125;0,026858692
E;7;3;22;2;2;1;0,205283684;0,169716566;0,246095247;0,019480936
E;3;3;23;2;2;1;0,175580824;0,141132639;0,216319501;0,019152689
E;5;3;23;2;2;1;0,038432385;0,026060738;0,056337414;0,007565561
E;3;3;24;2;2;1;0,509639367;0,455145784;0,563904827;0,027854789
E;4;3;24;2;2;1;0,153524299;0,107339207;0,214799747;0,027250021
E;1;2;25;2;2;1;0,100754041;0,072033476;0,139207979;0,016964444
E;2;2;25;2;2;1;0,014627043;0,007396882;0,028719921;0,005067557
E;3;3;25;2;2;1;0,11848607;0,08251387;0,167281205;0,021413027
E;11;3;25;2;2;1;0,016798033;0,010678858;0,026330283;0,003869433
E;3;3;26;2;2;1;0,569538971;0,513880852;0,623493528;0,028072909
E;7;3;26;2;2;1;0,150645448;0,123676821;0,182271617;0,014917789
E;3;3;27;2;2;1;0,140196565;0,111689994;0,174549203;0,01598622
E;5;3;27;2;2;1;0,029691792;0,019965988;0,043942791;0,005979789
E;3;3;28;2;2;1;0,511523994;0,462455443;0,560371455;0,025058822
E;4;3;28;2;2;1;0,154506966;0,109195382;0,214101888;0,026613833
E;1;2;29;2;2;1;0,08529092;0,060747226;0,118499909;0,014561405
E;2;2;29;2;2;1;0,012202801;0,006160601;0,024027802;0,004240937
E;3;3;29;2;2;1;0,162236656;0,122733889;0,211389984;0,022544868
E;11;3;29;2;2;1;0,024023947;0,016361142;0,035147418;0,004688914
E;3;3;30;2;2;1;0,457411639;0,407973857;0,507702704;0,025525254
E;7;3;30;2;2;1;0,101534898;0,083894467;0,122389027;0,009787507
E;3;3;31;2;2;1;0,158421255;0,129637985;0,192184094;0,015926872
E;5;3;31;2;2;1;0,03412162;0,02325513;0,049806805;0,006635068
E;3;3;32;2;2;1;0,471168255;0,424418134;0,518429701;0,024053335
E;4;3;32;2;2;1;0,134558591;0,094491885;0,188085619;0,023691108
E;1;2;33;2;2;1;0,120154239;0,089802652;0,158972408;0,017533767
E;2;2;33;2;2;1;0,017771215;0,009178685;0,034130473;0,005961607
E;3;3;33;2;2;1;0,597297091;0,535197548;0,656426039;0,031072001
E;11;3;33;2;2;1;0,158625358;0,121713723;0,204129342;0,020959806
