Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
IS;1;1;1;1;1;1;0,167890709;0,106800584;0,253988002;0,037291968
IS;1;2;1;1;1;1;0,136281745;0,078220175;0,226835693;0,037249898
IS;1;3;1;1;1;1;0,160113775;0,073428643;0,314408991;0,060226313
C;3;1;1;1;1;1;0,099246396;0,055456731;0,171340876;0,028710535
C;3;1;2;2;1;1;0,043717516;0,027263202;0,069394142;0,010436027
C;3;1;4;4;1;1;0,119488373;0,094186854;0,150457708;0,014293028
S;1;1;1;1;1;2;0,913020484;0,723432427;0,976811095;0,056300276
S;3;3;1;1;1;2;0,896609702;0,699383895;0,969992858;0,06222981
S;1;1;2;1;1;2;0,952347148;0,862035523;0,98459706;0,026920982
S;3;3;2;1;1;2;0,942892187;0,845729275;0,980286317;0,030289231
S;1;1;3;1;1;2;0,652575212;0,55474892;0,739019597;0,047484235
S;3;3;3;1;1;2;0,608116542;0,506427917;0,701215151;0,050299262
S;1;1;4;1;1;2;0,966302892;0,929823846;0,984142748;0,012826596
S;3;3;4;1;1;2;0,959499177;0,918742036;0,980252858;0,014666126
S;1;1;5;1;1;2;0,912960845;0,759333406;0,972121945;0,048703994
S;3;3;5;1;1;2;0,896540086;0,722040825;0,966563863;0,057014218
S;1;1;6;1;1;2;0,790176672;0,693238891;0,862555108;0,043199157
S;3;3;6;1;1;2;0,756763126;0,665899956;0,829251263;0,041821652
S;1;1;7;1;1;2;0,978392529;0,969947122;0,984502543;0,003652023
S;3;3;7;1;1;2;0,973964039;0,965691867;0,980282398;0,003679941
S;1;1;8;1;1;2;0,85588728;0,778611539;0,909330903;0,032972532
S;3;3;8;1;1;2;0,830695829;0,757052816;0,885395218;0,032575287
S;1;1;9;1;1;2;0,915046359;0,836756783;0,957687777;0,029451702
S;3;3;9;1;1;2;0,893661111;0,802400623;0,945629276;0,035264678
S;1;1;10;1;1;2;0,73855834;0,667827672;0,798766317;0,033506289
S;3;3;10;1;1;2;0,687899067;0,611201656;0,755518538;0,037018203
S;1;1;11;1;1;2;0,807089025;0,735014599;0,863208063;0,032647736
S;3;3;11;1;1;2;0,765492476;0,685693758;0,830052603;0,03690733
S;1;1;12;1;1;2;0,880699924;0,810631214;0,92717163;0,029212972
S;3;3;12;1;1;2;0,852066476;0,770813721;0,907952846;0,03459857
S;1;1;13;1;1;2;0,680962296;0,612295535;0,742580379;0,033388844
S;3;3;13;1;1;2;0,624812148;0,551799486;0,692557753;0,036129703
S;1;1;14;1;1;2;0,775729233;0,690843164;0,842617602;0,038778785
S;3;3;14;1;1;2;0,729635881;0,637440175;0,805539162;0,043127582
S;1;1;15;1;1;2;0,785201701;0,708030559;0,846400523;0,035315601
S;3;3;15;1;1;2;0,740403679;0,654643145;0,811015697;0,040064739
S;1;1;16;1;1;2;0,84169451;0,772392567;0,892823356;0,030525305
S;3;3;16;1;1;2;0,805764008;0,726175367;0,866473366;0,035726499
S;1;1;17;1;1;2;0,786654427;0,721472338;0,839965974;0,030234877
S;3;3;17;1;1;2;0,742059854;0,67153184;0,801911311;0,033357637
S;1;1;18;1;1;2;0,793145646;0,72501195;0,847938538;0,031350886
S;3;3;18;1;1;2;0,749475795;0,674973751;0,811665566;0,0349707
S;1;1;19;1;1;2;0,81374453;0,750795725;0,863679594;0,028740515
S;3;3;19;1;1;2;0,680412446;0,599962491;0,751387668;0,038870433
S;1;1;20;1;1;2;0,822081148;0,741446899;0,881584439;0,035596496
S;3;3;20;1;1;2;0,692461464;0,583120919;0,783758654;0,051724361
S;1;1;21;1;1;2;0,790885803;0,698814109;0,860432769;0,041229577
S;3;3;21;1;1;2;0,648263224;0,536420113;0,745904714;0,054151348
S;1;1;22;1;1;2;0,837822584;0,74228515;0,902591027;0,040501815
S;3;3;22;1;1;2;0,715705096;0,581489074;0,820188193;0,061702356
S;1;1;23;1;1;2;0,90576813;0,795748896;0,959539071;0,039326968
S;3;3;23;1;1;2;0,824069455;0,657531672;0,919532892;0,06596927
S;1;1;24;1;1;2;0,797352494;0,647124148;0,894091799;0,062934916
S;3;3;24;1;1;2;0,657228893;0,476573537;0,801502791;0,085599608
S;1;1;25;1;1;2;0,744585697;0,600248626;0,849844358;0,064373243
S;3;3;25;1;1;2;0,58687985;0,418948576;0,736771314;0,083889929
S;1;1;26;1;1;2;0,81533409;0,725201716;0,880764188;0,039533692
S;3;3;26;1;1;2;0,682696202;0,562718541;0,782480085;0,056806689
S;1;1;27;1;1;2;0,798402081;0,61418389;0,907856628;0,074844927
S;3;3;27;1;1;2;0,658693574;0,44484844;0,822949965;0,100821561
S;1;1;28;1;1;2;0,754460166;0,128456839;0,984628647;0,28706341
S;1;1;29;1;1;2;0,543819948;0,256129657;0,804968839;0,157190658
E;1;2;1;1;1;1;1;1;1;0
E;1;2;2;2;1;1;0,024671042;0,002668151;0,193006529;0,027580315
E;2;2;2;2;1;1;0,004186248;0,00040858;0,041443581;0,00495708
E;3;3;2;2;1;1;0,121192432;0,037664575;0,327012233;0,068437869
E;4;3;2;2;1;1;0,021224251;0,006231185;0,069760238;0,013150863
E;5;4;2;2;1;1;0,59069999;0,034951375;0,982908594;0,454568806
E;6;4;2;2;1;1;0,725823166;0,071028495;0,989207612;0,359885356
E;1;2;3;2;1;1;0,024461754;0,006661782;0,085718262;0,016056712
E;2;2;3;2;1;1;0,004149996;0,000963721;0,017684327;0,003085359
E;3;3;3;2;1;1;0,009645555;0,001021664;0,084878855;0,010984101
E;4;3;3;2;1;1;0,001529112;0,000162082;0,014261468;0,001749331
E;5;4;3;2;1;1;0,641148107;0,043812558;0,985849238;0,430031238
E;6;4;3;2;1;1;0,76620839;0,086552014;0,99125534;0,32385663
E;1;2;4;2;1;1;0,048470823;0,02204497;0,103230233;0,019184407
E;2;2;4;2;1;1;0,008394746;0,003003812;0,023235294;0,004387851
E;3;3;4;2;1;1;0,094403635;0,043124975;0,194276578;0,036576284
E;4;3;4;2;1;1;0,016127254;0,007290864;0,03529244;0,006499302
E;5;4;4;2;1;1;0,089901691;0,055637626;0,142092078;0,021574199
E;6;4;4;2;1;1;0,153402188;0,100013678;0,22806801;0,032395267
E;1;2;5;2;1;1;0,099241069;0,059403864;0,161214819;0,025379602
E;2;2;5;2;1;1;0,017980975;0,007788908;0,040959183;0,00763008
E;3;3;5;2;1;1;0,136698156;0,078684376;0,226948908;0,037171836
E;4;3;5;2;1;1;0,024293312;0,013970807;0,041918491;0,00681774
E;5;4;5;2;1;1;0,82225994;0,03165493;0,998474891;0,369280728
E;6;4;5;2;1;1;0,894580542;0,055562557;0,999183686;0,239205145
E;1;2;6;2;1;1;0,051064148;0,030166431;0,0851674;0,013551437
E;2;2;6;2;1;1;0,008863863;0,003832839;0,020363664;0,003780545
E;3;3;6;2;1;1;0,119519093;0,06953282;0,197800834;0,032047909
E;4;3;6;2;1;1;0,020898378;0,01226412;0,035393556;0,005655904
E;5;4;6;2;1;1;0,136768446;0,037182425;0,393944972;0,085031392
E;6;4;6;2;1;1;0,225181796;0,065111871;0,548070879;0,127170845
E;1;2;7;2;1;1;0,062899292;0,038824015;0,100345354;0,015272926
E;2;2;7;2;1;1;0,011031949;0,004914024;0,024578513;0,004535931
E;3;3;7;2;1;1;0,14495111;0,088360722;0,228692746;0,035351735
E;4;3;7;2;1;1;0,025964085;0,015895605;0,042137;0,006463846
E;5;4;7;2;1;1;0,073711241;0,039684954;0,132875248;0,022826365
E;6;4;7;2;1;1;0,127376444;0,079233448;0,198466434;0,029968455
E;1;2;8;2;1;1;0,049775045;0,030952952;0,079108258;0,011936819
E;2;2;8;2;1;1;0,008630408;0,003875881;0,019105429;0,003515364
E;3;3;8;2;1;1;0,176747258;0,111920702;0,267799763;0,039548982
E;4;3;8;2;1;1;0,032656357;0,020680563;0,051204547;0,007561424
E;5;4;8;2;1;1;0,998299884;0,997932653;0,998601974;0,000169669
E;6;4;8;2;1;1;0,999072445;0,998419693;0,999455723;0,000252229
E;1;2;9;2;1;1;0,092713014;0,062497652;0,135426221;0,018331579
E;2;2;9;2;1;1;0,016699095;0,007811923;0,035336607;0,006439923
E;3;3;9;2;1;1;0,630799499;0,499199165;0,745451701;0,06402752
E;4;3;9;2;1;1;0,21176425;0,145142643;0,298295122;0,039080949
E;5;4;9;2;1;1;0,09852974;0,054411449;0,171916614;0,029073872
E;6;4;9;2;1;1;0,167006189;0,10491392;0,255362961;0,038099398
E;1;2;10;2;1;1;0,015077391;0,007528314;0,029967793;0,005319965
E;2;2;10;2;1;1;0,002537646;0,000986246;0,006513541;0,001222521
E;3;3;10;2;1;1;0,161175553;0,101267272;0,24679263;0,036814906
E;4;3;10;2;1;1;0,029327056;0,018523728;0,046134889;0,006833909
E;5;4;10;2;1;1;0,284016542;0,109861446;0,560430149;0,121132185
E;6;4;10;2;1;1;0,471436666;0,218094611;0,740400088;0,147784871
E;1;2;11;2;1;1;0,092223478;0,062940767;0,133193297;0,017673487
E;2;2;11;2;1;1;0,016603577;0,007924093;0,034459725;0,006235405
E;3;3;11;2;1;1;0,416282372;0,29577833;0,54769846;0,0656361
E;4;3;11;2;1;1;0,100830983;0,0662635;0,150524195;0,02116404
E;5;4;11;2;1;1;0,105593483;0,073270315;0,149869991;0,019319605
E;6;4;11;2;1;1;0,209769226;0,153169868;0,280359016;0,0324458
E;1;2;12;2;1;1;0,070489442;0,046510659;0,105463224;0,014750561
E;2;2;12;2;1;1;0,012446319;0,005829356;0,026375005;0,004798644
E;3;3;12;2;1;1;0,289569953;0,193739708;0,408769124;0,055462052
E;4;3;12;2;1;1;0,060231088;0,038828712;0,092297627;0,013329133
E;5;4;12;2;1;1;0,188682562;0,120270494;0,283469647;0,041494274
E;6;4;12;2;1;1;0,343362215;0,238688503;0,465850736;0,058843569
E;1;2;13;2;1;1;0,043798402;0,027344072;0,06944719;0,010430693
E;2;2;13;2;1;1;0,007554849;0,003420947;0,016600981;0,003046655
E;3;3;13;2;1;1;0,22800759;0,14589675;0,338040494;0,049174017
E;4;3;13;2;1;1;0,044380162;0,027869224;0,069968856;0,010438186
E;5;4;13;2;1;1;0,428684545;0,203155669;0,688313477;0,134886021
E;6;4;13;2;1;1;0,627855195;0,361135753;0,83431064;0,13035272
E;1;2;14;2;1;1;0,095998374;0,066529945;0,136609208;0,017655709
E;2;2;14;2;1;1;0,017342328;0,008386417;0,03551973;0,006395889
E;3;3;14;2;1;1;0,454613459;0,326177373;0,589386804;0,068750024
E;4;3;14;2;1;1;0,115881901;0,075515948;0,173769195;0,024718051
E;5;4;14;2;1;1;0,122966409;0,089703203;0,166310579;0,019402875
E;6;4;14;2;1;1;0,239688627;0,184881205;0,304670633;0,030611614
E;1;2;15;2;1;1;0,096923234;0,066650377;0,138899874;0,018194931
E;2;2;15;2;1;1;0,017524096;0,008401057;0,036192602;0,006539494
E;3;3;15;2;1;1;0,167849653;0,104575027;0,258362818;0,038941795
E;4;3;15;2;1;1;0,030741546;0,019077876;0,049178548;0,007434645
E;5;4;15;2;1;1;0,124634849;0,0795688;0,18995763;0,027774407
E;6;4;15;2;1;1;0,242502881;0,165770923;0,340265542;0,044695585
E;1;2;16;2;1;1;0,148690077;0,107502851;0,202084252;0,023998389
E;2;2;16;2;1;1;0,028208366;0,01388995;0,056442057;0,010113026
E;3;3;16;2;1;1;0,421331806;0,297573258;0,55583207;0,067368063
E;4;3;16;2;1;1;0,102727442;0,0665789;0,155238457;0,022253014
E;5;4;16;2;1;1;0,162184197;0,103846808;0,244357407;0,03557358
E;6;4;16;2;1;1;0,303260623;0,207418473;0,419925147;0,054843432
E;1;2;17;2;1;1;0,110585927;0,077847403;0,154781602;0,019429966
E;2;2;17;2;1;1;0,020245276;0,009825075;0,041256391;0,007423735
E;3;3;17;2;1;1;0,501301743;0,366349293;0,636064798;0,070550239
E;4;3;17;2;1;1;0,136488741;0,089019079;0,20361393;0,028918073
E;5;4;17;2;1;1;0,245025749;0,14666108;0,379985862;0,059999589
E;6;4;17;2;1;1;0,42187681;0,279568048;0,578460794;0,078585979
E;1;2;18;2;1;1;0,076598068;0,052227187;0,111009193;0,014760323
E;2;2;18;2;1;1;0,013598507;0,006474918;0,028335822;0,005127412
E;3;3;18;2;1;1;0,556119633;0,411575189;0,691750141;0,07341107
E;4;3;18;2;1;1;0,164579227;0,106070683;0,24646307;0,035564194
E;5;4;18;2;1;1;0,140965309;0,097667767;0,199219481;0,025708752
