Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
S;3;3;90;1;2;2;0,926133534;0,870365289;0,959039597;0,02179937
S;3;3;91;1;2;2;0,877598834;0,837581877;0,90882952;0,018060699
S;3;3;92;1;2;2;0,959559376;0,928027382;0,977610151;0,012074427
S;3;3;93;1;2;2;0,94336522;0,794844575;0,986228431;0,039755662
S;3;3;94;1;2;2;0,91653608;0,854550766;0,953541575;0,0244105
S;3;3;95;1;2;2;0,847329472;0,800021518;0,885053978;0,021607359
S;3;3;96;1;2;2;0,966213238;0,940817278;0,980932376;0,009780177
S;3;3;97;1;2;2;0,910553433;0,745335714;0,9725334;0,051798023
S;3;3;98;1;2;2;0,876354548;0,788515037;0,930907099;0,035512153
S;3;3;99;1;2;2;0,8367728;0,787456275;0,876441895;0,022630406
S;3;3;100;1;2;2;0,954727071;0,921857572;0,974158063;0,012809502
S;3;3;101;1;2;2;0,953696799;0,735028163;0,993503565;0,045169682
S;3;3;102;1;2;2;0,863453538;0,77790147;0,919462885;0,035538671
S;3;3;103;1;2;2;0,89640478;0,858102473;0,925268578;0,016975142
S;3;3;104;1;2;2;0,929695774;0,880707651;0,95949192;0,019437621
S;3;3;105;1;2;2;0,973755546;0,804969034;0,99701083;0,028633579
S;3;3;106;1;2;2;0,88813589;0,821836522;0,931810565;0,027524151
S;3;3;107;1;2;2;0,86779771;0,824355728;0,901775453;0,019636914
S;3;3;108;1;2;2;0,928696751;0,883827098;0,957077939;0,018164929
S;3;3;109;1;2;2;0,95975981;0,818303044;0,992145172;0,032845992
S;3;3;110;1;2;2;0,900025788;0,836835567;0,940484209;0,025829681
S;3;3;111;1;2;2;0,876450823;0,832877476;0,909892521;0,01950684
S;3;3;112;1;2;2;0,93950763;0,899508595;0,964218986;0,015978851
S;3;3;113;1;2;2;0,882094594;0,716437039;0,956809225;0,057603228
S;3;3;114;1;2;2;0,907413004;0,832930059;0,950657162;0,028972701
S;3;3;115;1;2;2;0,893033953;0,854671979;0,922191479;0,017076861
S;3;3;116;1;2;2;0,959193024;0,926946431;0,977550372;0,012312412
S;3;3;117;1;2;2;0,760139582;0,451949843;0,924119765;0,125232924
S;3;3;118;1;2;2;0,999998089;0,999983132;0,999999783;0,000002124
E;1;2;1;1;1;1;1;1;1;0
E;19;4;3;2;1;1;0,477587314;0,174105486;0,798570526;0,186753442
E;19;4;4;2;1;1;0,363597326;0,156510789;0,637574728;0,132772836
E;1;2;5;2;1;1;0,03350425;0,009312295;0,113352461;0,021561252
E;2;2;5;2;1;1;0,004721329;0,001149286;0,019182261;0,00339609
E;1;2;9;2;1;1;0,014289109;0,004877463;0,041111367;0,007792525
E;2;2;9;2;1;1;0,001979769;0,000589849;0,006623194;0,001222064
E;1;2;13;2;1;1;0,035677911;0,020256706;0,062095039;0,010214617
E;2;2;13;2;1;1;0,005037368;0,002272327;0,011129466;0,002042782
E;1;2;17;2;1;1;0,054252768;0,035764184;0,081491408;0,011415496
E;2;2;17;2;1;1;0,0077888;0,00387277;0,015602581;0,00277052
E;1;2;21;2;1;1;0,03384867;0,022446692;0,050741746;0,007049299
E;2;2;21;2;1;1;0,004771324;0,002379406;0,009544734;0,001691489
E;1;2;25;2;1;1;0,042715386;0,029438138;0,06160089;0,008053868
E;2;2;25;2;1;1;0,006069027;0,003092692;0,011875596;0,00208402
E;1;2;29;2;1;1;0,03385409;0,023388194;0,048769456;0,006351405
E;2;2;29;2;1;1;0,004772111;0,002433348;0,009337687;0,001637717
E;1;2;33;2;1;1;0,047247296;0,034079413;0,065159869;0,007818557
E;2;2;33;2;1;1;0,006740299;0,003510163;0,012904391;0,002239667
E;19;4;36;2;1;1;0,51514907;0,347163597;0,679779814;0,088202793
E;1;2;37;2;1;1;0,01133484;0,006782736;0,018883916;0,00296222
E;2;2;37;2;1;1;0,001566408;0,000733809;0,003340536;0,000605733
E;19;4;37;2;1;1;0,176508325;0,118246203;0,255169842;0,034777855
E;19;4;39;2;1;1;0,202927223;0,12108057;0,319959022;0,050681389
E;1;2;41;2;1;1;0,043039712;0,030619278;0,060185575;0,007426089
E;2;2;41;2;1;1;0,006116885;0,003163132;0,011796235;0,002054792
E;1;2;45;2;1;1;0,032378448;0,022706252;0,045976886;0,005831215
E;2;2;45;2;1;1;0,004558123;0,002352481;0,008813461;0,001536339
E;1;2;49;2;1;1;0,022192453;0,014933259;0,032862686;0,004467952
E;2;2;49;2;1;1;0,00309617;0,001553597;0,00616092;0,001088398
E;1;2;53;2;1;1;0,041842011;0,030138376;0,05781957;0,006959562
E;2;2;53;2;1;1;0,005940288;0,003122929;0,0112706;0,001945687
E;1;2;57;2;1;1;0,037423592;0,026551087;0,052508167;0,006514708
E;2;2;57;2;1;1;0,005292068;0,002792516;0,010006493;0,001723647
E;1;2;61;2;1;1;0,063968113;0,047192557;0,086167596;0,009834109
E;2;2;61;2;1;1;0,009265097;0,004952101;0,017269272;0,002954157
E;1;2;65;2;1;1;0,053653573;0,039235929;0,07296677;0,008498971
E;2;2;65;2;1;1;0,007698599;0,00410179;0,01440379;0,002468101
E;1;2;69;2;1;1;0,037270179;0,026914483;0,051399895;0,006155224
E;2;2;69;2;1;1;0,005269653;0,002806365;0,009873682;0,001691704
E;1;2;73;2;1;1;0,023044084;0,015850874;0,033390856;0,004382239
E;2;2;73;2;1;1;0,003217396;0,00167487;0,006171778;0,001070732
E;19;4;75;2;1;1;0,172674484;0,117396801;0,246704941;0,032837375
E;19;4;76;2;1;1;0,434076584;0,315072699;0,561200029;0,064079565
E;1;2;77;2;1;1;0,051424078;0,037504068;0,070134167;0,008218501
E;2;2;77;2;1;1;0,007363836;0,003912297;0,013818176;0,002371623
E;19;4;77;2;1;1;0,271382481;0,180305924;0,386757336;0,053131585
E;1;2;81;2;1;1;0,025934472;0,017979863;0,037274759;0,004826228
E;2;2;81;2;1;1;0,00363019;0,001880117;0,006997867;0,001217431
E;1;2;85;2;1;1;0,032507747;0,023176148;0,045421893;0,005583413
E;2;2;85;2;1;1;0,00457685;0,00235288;0,008884224;0,001551802
E;1;2;89;2;1;1;0,024055234;0,01643942;0,03507338;0,00465272
E;2;2;89;2;1;1;0,003361565;0,001676294;0,006729714;0,001192269
E;1;2;93;2;1;1;0,038575693;0,027803925;0,053291891;0,006406825
E;2;2;93;2;1;1;0,005460598;0,002826057;0,010525221;0,001832394
E;1;2;97;2;1;1;0,016775349;0,011362719;0,024701864;0,00332456
E;2;2;97;2;1;1;0,002329301;0,00117611;0,004607996;0,000811591
E;1;2;101;2;1;1;0,024510535;0,016739935;0,035757037;0,004748286
E;2;2;101;2;1;1;0,003426566;0,001713101;0,006842112;0,001210818
E;1;2;105;2;1;1;0,045652045;0,033054924;0,0627384;0,007468594
E;2;2;105;2;1;1;0,006503385;0,003396153;0,012418084;0,002151946
E;1;2;109;2;1;1;0,043358909;0,031097603;0,060154512;0,007303613
E;2;2;109;2;1;1;0,006164014;0,003164899;0,011971013;0,002092911
E;1;2;113;2;1;1;0,031034165;0,021329905;0,044950693;0,005905951
E;2;2;113;2;1;1;0,00436367;0,002169809;0,008756248;0,001553594
E;1;2;117;2;1;1;0,028105941;0,018569867;0,042327815;0,005912028
E;2;2;117;2;1;1;0,0039417;0,001903085;0,008146289;0,001462657
E;3;3;2;2;2;1;0,321299717;0,165471325;0,530576478;0,096824062
E;7;3;2;2;2;1;0,059506167;0,025756599;0,131509224;0,024917218
E;3;3;3;2;2;1;0,472099692;0,270167045;0,683594583;0,112157076
E;5;3;3;2;2;1;0,143843419;0,063341159;0,294490789;0,05718145
E;3;3;4;2;2;1;0,000024412;0,000021159;0,000028165;0,000001781
E;4;3;4;2;2;1;0,000004272;0,000003003;0,000006078;0,000000768
E;1;2;5;2;2;1;0,086580368;0,025206698;0,257858506;0,052413196
E;2;2;5;2;2;1;0,012804768;0,003160286;0,050394101;0,0090864
E;3;3;5;2;2;1;0,129022063;0,029311574;0,420860152;0,091184004
E;11;3;5;2;2;1;0,018429066;0,003767744;0,085259067;0,014787918
E;3;3;6;2;2;1;0,240154085;0,154763626;0,35298304;0,050822797
E;7;3;6;2;2;1;0,040529369;0,0237565;0,068315739;0,010941876
E;3;3;7;2;2;1;0,043883166;0,015123736;0,120633143;0,023438391
E;5;3;7;2;2;1;0,008548959;0,00275795;0,026180424;0,004917503
E;3;3;8;2;2;1;0,0696422;0,03050459;0,151164277;0,028650699
E;4;3;8;2;2;1;0,012930276;0,004869058;0,033883233;0,006412829
E;1;2;9;2;2;1;0,03812614;0,013319932;0,104248822;0,020153076
E;2;2;9;2;2;1;0,005394796;0,001625604;0,017748036;0,003294256
E;3;3;9;2;2;1;0,009231754;0,000540623;0,138307908;0,013283074
E;11;3;9;2;2;1;0,001179572;0,000068142;0,020055393;0,001714628
E;3;3;10;2;2;1;0,527663974;0,428273281;0,624909062;0,050822088
E;7;3;10;2;2;1;0,129910437;0,090640825;0,182773838;0,023303662
E;3;3;11;2;2;1;0,070990548;0,036670976;0,132994804;0,023447468
E;5;3;11;2;2;1;0,014152885;0,00662579;0,029972972;0,005456847
E;3;3;12;2;2;1;0,261384008;0,18569024;0,354500624;0,043288669
E;4;3;12;2;2;1;0,058317929;0,031345577;0,105960693;0,018186381
E;1;2;13;2;2;1;0,091870142;0,054160231;0,151627065;0,024225139
E;2;2;13;2;2;1;0,013654478;0,006269188;0,029481747;0,005400134
E;3;3;13;2;2;1;0,072027325;0,030586495;0,160329192;0,030697557
E;11;3;13;2;2;1;0,009741714;0,003892547;0,024166939;0,004544056
E;3;3;14;2;2;1;0,381922391;0,312265824;0,456796594;0,037112959
E;7;3;14;2;2;1;0,076285758;0,056798736;0,101737406;0,011355459
E;3;3;15;2;2;1;0,045499015;0,02489059;0,08174007;0,013838778
E;5;3;15;2;2;1;0,008875824;0,004410767;0,017780173;0,003158756
E;3;3;16;2;2;1;0,344408121;0,272070685;0,424755815;0,039217499
E;4;3;16;2;2;1;0,084193936;0,047727682;0,144300175;0,023865581
E;1;2;17;2;2;1;0,135586782;0,093194371;0,193155213;0,025282469
E;2;2;17;2;2;1;0,021013209;0,010648226;0,041048857;0,007245103
E;3;3;17;2;2;1;0,11885585;0,074573829;0,184198828;0,027526393
E;11;3;17;2;2;1;0,016808788;0,009684469;0,029020486;0,004709968
E;3;3;18;2;2;1;0,539584552;0,473495845;0,604310092;0,033562084
E;7;3;18;2;2;1;0,135421539;0,106766641;0,170300803;0,016149788
E;3;3;19;2;2;1;0,062465635;0,040546001;0,095061196;0,013603816
E;5;3;19;2;2;1;0,012362506;0,007042362;0,021614262;0,003538917
E;3;3;20;2;2;1;0,347826378;0,282196176;0,419793552;0,035298008
E;4;3;20;2;2;1;0,085365852;0,049746838;0,142659505;0,023033305
E;1;2;21;2;2;1;0,087421053;0,059998403;0,125701336;0,016526594
E;2;2;21;2;2;1;0,012939249;0,006570633;0,025323325;0,00445767
E;3;3;21;2;2;1;0,108535792;0,07056967;0,163337908;0,023309558
E;11;3;21;2;2;1;0,015196496;0,009070938;0,025352778;0,003987177
E;3;3;22;2;2;1;0,665682065;0,61069667;0,716506453;0,027078155
E;7;3;22;2;2;1;0,21018674;0,17310994;0,2527771;0,02032286
E;3;3;23;2;2;1;0,173164786;0,137328666;0,216010806;0,02003735
E;5;3;23;2;2;1;0,037856081;0,024580377;0,057876468;0,00827967
E;3;3;24;2;2;1;0,509126884;0,436152579;0,581714298;0,03739865
E;4;3;24;2;2;1;0,153623562;0,092412345;0,244458629;0,038348306
E;1;2;25;2;2;1;0,108741668;0,077776146;0,150030057;0,018260627
E;2;2;25;2;2;1;0,016421804;0,00852707;0,031394384;0,00546666
E;3;3;25;2;2;1;0,123103392;0,084319507;0,176291949;0,023224983
E;11;3;25;2;2;1;0,017481835;0,010923411;0,027866999;0,004179316
E;3;3;26;2;2;1;0,578903848;0,523320803;0,632556378;0,02797486
E;7;3;26;2;2;1;0,155218436;0,127141297;0,188159368;0,015536382
E;3;3;27;2;2;1;0,140910535;0,111521802;0,176505365;0,016524105
E;5;3;27;2;2;1;0,029893681;0,019467123;0,045644724;0,006504453
E;3;3;28;2;2;1;0,513873765;0,446783054;0,580468205;0,034308565
E;4;3;28;2;2;1;0,156109996;0,095141337;0,245546485;0,037972877
E;1;2;29;2;2;1;0,087434273;0,062355018;0,121295571;0,014865052
E;2;2;29;2;2;1;0,012941365;0,006711444;0,024809789;0,004320353
E;3;3;29;2;2;1;0,162967051;0,119775919;0,217877749;0,024932079
E;11;3;29;2;2;1;0,024082153;0,015907488;0,036302713;0,00507243
E;3;3;30;2;2;1;0,461334537;0,40948638;0,514032948;0,026767257
E;7;3;30;2;2;1;0,102708016;0,083941856;0,125096643;0,010460258
E;3;3;31;2;2;1;0,155257906;0,125251898;0,190883692;0,016706292
E;5;3;31;2;2;1;0,033376585;0,021898626;0,050559628;0,007131267
E;3;3;32;2;2;1;0,469641136;0,405991758;0,534293649;0,032910787
E;4;3;32;2;2;1;0,13417294;0,081667932;0,212618465;0,032915507
E;1;2;33;2;2;1;0,119404903;0,089308089;0,157885923;0,017383379
E;2;2;33;2;2;1;0,01821717;0,009662299;0,034085714;0,00586573
E;3;3;33;2;2;1;0,594791586;0,522007388;0,663634371;0,036364063
E;11;3;33;2;2;1;0,156859588;0,115717366;0,209169478;0,023741302
E;3;3;34;2;2;1;0,603344036;0,553984276;0,650685651;0,02474229
E;7;3;34;2;2;1;0,168947966;0,141260101;0,200793864;0,015169534
E;3;3;35;2;2;1;0,35636468;0,310437933;0,405094383;0,024211879
E;5;3;35;2;2;1;0,094217919;0,064294289;0,136043642;0,018054035
E;3;3;36;2;2;1;0,529475052;0,463988733;0,59396211;0,033344432
E;4;3;36;2;2;1;0,164525598;0,100968779;0,256667749;0,039383714
E;1;2;37;2;2;1;0,030395542;0,018542956;0,049442597;0,007613852
E;2;2;37;2;2;1;0,004271455;0,002027766;0,00897542;0,001621581
E;3;3;37;2;2;1;0,158697929;0,11398272;0,216665213;0,026071894
E;11;3;37;2;2;1;0,023349799;0,015100774;0,03594054;0,005168882
E;3;3;38;2;2;1;0,590096503;0,536409573;0,641718818;0,026961002
