Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
IS;1;1;1;1;1;1;0,295539798;0,21171839;0,395880816;0,047372034
IS;1;2;1;1;1;1;0,36122313;0,274854788;0,457604617;0,047098196
IS;1;3;1;1;1;1;0,109250903;0,078122739;0,150753882;0,018356577
IS;3;3;1;1;1;2;0,518121784;0,444718371;0,590751286;0,037521198
IS;3;3;1;1;1;3;0,503328746;0,383329776;0,622945455;0,062338299
IS;3;3;1;1;1;4;0,657892417;0,478450347;0,801243488;0,084994718
C;3;1;1;1;1;1;0,013765012;0,011355936;0,016676535;0,001349444
S;1;1;1;1;1;2;0,927055385;0,491165066;0,994059295;0,088934005
S;1;1;2;1;1;2;0,849713104;0,653161591;0,944367076;0,071628853
S;1;1;3;1;1;2;0,931105121;0,776413303;0,981342896;0,044475266
S;1;1;4;1;1;2;0,980251973;0,964988077;0,988937663;0,005810662
S;1;1;5;1;1;2;0,999968527;0,999954301;0,999978324;0,000005989
S;1;1;6;1;1;2;0,954828636;0,879385455;0,983944431;0,023423718
S;1;1;7;1;1;2;0,942803414;0,866956849;0,976578746;0,025533219
S;1;1;8;1;1;2;0,999972718;0,999962261;0,999980278;0,000004517
S;1;1;9;1;1;2;0,889726746;0,731750428;0,959781719;0,054284118
S;1;1;10;1;1;2;0,920563795;0,817897583;0,967638723;0,035364085
S;1;1;11;1;1;2;0,959334097;0,902062481;0,983719052;0,018719786
S;1;1;12;1;1;2;0,93708309;0,733618126;0,98773732;0,050773364
S;1;1;13;1;1;2;0,999977479;0,999968455;0,999983921;0,000003872
S;1;1;14;1;1;2;0,932290397;0,860687755;0,968440692;0,025810476
S;1;1;15;1;1;2;0,974290814;0,940204204;0,989170162;0,011242304
S;1;1;16;1;1;2;0,998324996;0,990343634;0,999711375;0,00150142
S;1;1;17;1;1;2;0,94509679;0,857808599;0,98004706;0,027758113
S;1;1;18;1;1;2;0,969396333;0,926222937;0,987642289;0,014008412
S;1;1;19;1;1;2;0,979320876;0,949609621;0,991667453;0,009521138
S;1;1;20;1;1;2;0,956258502;0,853791115;0,987929082;0,028171722
S;1;1;21;1;1;2;0,956554122;0,849047476;0,988530102;0,028935449
S;1;1;22;1;1;2;0,973205736;0,935877357;0,989057828;0,012129762
S;1;1;23;1;1;2;0,94526838;0,887556542;0,974219866;0,020668178
S;1;1;24;1;1;2;0,923206639;0,860665788;0,959012579;0,02408675
S;1;1;25;1;1;2;0,999989254;0,999916101;0,999998624;0,000011268
S;1;1;26;1;1;2;0,96451926;0,922171431;0,984219237;0,014499194
S;1;1;27;1;1;2;0,96259998;0,925452285;0,981604641;0,013392533
S;1;1;28;1;1;2;0,966562546;0,88737743;0,990658569;0,02143371
S;1;1;29;1;1;2;0,98832775;0,78284764;0,999497424;0,018578043
S;1;1;30;1;1;2;0,983449476;0,958742428;0,993461641;0,007796665
S;1;1;31;1;1;2;0,949402212;0,901235962;0,974736729;0,017668325
S;1;1;32;1;1;2;0,967090342;0,909774644;0,988458131;0,017368875
S;1;1;33;1;1;2;0,994177014;0,860900156;0,999787725;0,009798061
S;1;1;34;1;1;2;0,960192224;0,908406672;0,983239186;0,017331795
S;1;1;35;1;1;2;0,946316042;0,918849331;0,96484193;0,011473156
S;1;1;36;1;1;2;0,888012013;0,841148765;0,922326628;0,020487703
S;1;1;37;1;1;2;0,991334218;0,712973232;0,999810223;0,016786031
S;1;1;38;1;1;2;0,944574354;0,899360798;0,970149296;0,017243302
S;1;1;39;1;1;2;0,964577979;0,941268785;0,978844163;0,009240854
S;1;1;40;1;1;2;0,911786964;0,867344231;0,94233035;0,018793609
S;1;1;41;1;1;2;0,999989631;0,998537833;0,999999927;0,000026188
S;1;1;42;1;1;2;0,910411978;0,857121397;0,945099458;0,021933995
S;1;1;43;1;1;2;0,960421963;0,936509513;0,975563258;0,009654733
S;1;1;44;1;1;2;0,939726976;0,907966075;0,960998012;0,013225339
S;1;1;45;1;1;2;0,999993378;0,999949332;0,999999134;0,000006875
S;1;1;46;1;1;2;0,936445331;0,892814784;0,963050742;0,017319302
S;1;1;47;1;1;2;0,945453213;0,9137652;0,965931225;0,012948265
S;1;1;48;1;1;2;0,912622905;0,873300227;0,940571853;0,016909871
S;1;1;49;1;1;2;0,949027922;0,869632761;0,981120245;0,025333242
S;1;1;50;1;1;2;0,922616046;0,8610125;0,958239323;0,023848659
S;1;1;51;1;1;2;0,939738082;0,901294767;0,963809859;0,015463758
S;1;1;52;1;1;2;0,944974009;0,903231042;0,969322011;0,016175124
S;1;1;53;1;1;2;0,914887822;0,825142579;0,960761861;0,032706429
S;1;1;54;1;1;2;0,893881499;0,829277986;0,935927022;0,026642238
S;1;1;55;1;1;2;0,968466792;0,946265427;0,981672939;0,008666283
S;1;1;56;1;1;2;0,931991629;0,892643638;0,957602867;0,016158177
S;1;1;57;1;1;2;0,984209305;0,780709027;0,999084416;0,022698416
S;1;1;58;1;1;2;0,906251481;0,845281605;0,944764967;0,024735324
S;1;1;59;1;1;2;0,955234645;0,927149077;0,972810167;0,011275561
S;1;1;60;1;1;2;0,936773575;0,903567331;0,959063412;0,013846667
S;1;1;61;1;1;2;0,982040241;0,778668973;0,998824717;0,024688237
S;1;1;62;1;1;2;0,903344804;0,840170545;0,943235837;0,025635123
S;1;1;63;1;1;2;0,954664075;0,926185038;0,972481885;0,011432856
S;1;1;64;1;1;2;0,930882391;0,893718071;0,955695442;0,015462313
S;1;1;65;1;1;2;0,967085033;0,892298656;0,990493985;0,0205593
S;1;1;66;1;1;2;0,90367303;0,839642303;0,943846231;0,025899035
S;1;1;67;1;1;2;0,958663935;0,932217478;0,975067844;0,010564814
S;1;1;68;1;1;2;0,928472969;0,889503573;0,954403315;0,016188863
S;1;1;69;1;1;2;0,992758842;0,806489846;0,99977832;0,012812599
S;1;1;70;1;1;2;0,910396535;0,852603147;0,946939728;0,023445259
S;1;1;71;1;1;2;0,952718309;0,924083918;0,970892445;0,011583792
S;1;1;72;1;1;2;0,93729036;0,900369338;0,961120055;0,015088417
S;1;1;73;1;1;2;0,966378581;0,84755813;0,993315179;0,027233048
S;1;1;74;1;1;2;0,899242907;0,852024623;0,932586187;0,020259996
S;1;1;75;1;1;2;0,94129744;0,919863756;0,957264688;0,009424023
S;1;1;76;1;1;2;0,957907902;0,931606699;0,974372991;0,010558497
S;1;1;77;1;1;2;0,962090559;0,842136136;0,991785518;0,029023399
S;1;1;78;1;1;2;0,903244633;0,855850463;0,936217609;0,020179183
S;1;1;79;1;1;2;0,936934549;0,913559711;0,954304623;0,010266438
S;1;1;80;1;1;2;0,972074216;0,954282861;0,983064731;0,007082802
S;1;1;81;1;1;2;0,978885408;0,829917366;0,997734878;0,023741752
S;1;1;82;1;1;2;0,919722904;0,874386748;0,949638823;0,018769815
S;1;1;83;1;1;2;0,936830575;0,914723739;0,953497827;0,009781333
S;1;1;84;1;1;2;0,961042753;0,937503185;0,975943597;0,009502194
S;1;1;85;1;1;2;0,999985725;0,999917793;0,999997521;0,000012751
S;1;1;86;1;1;2;0,896758851;0,84727519;0,931505657;0,021177359
S;1;1;87;1;1;2;0,961859098;0,946875292;0,972738403;0,006495988
S;1;1;88;1;1;2;0,950124919;0,924348894;0,96742795;0,010737499
S;1;1;89;1;1;2;0,999986201;0,999414416;0,999999675;0,000026391
S;1;1;90;1;1;2;0,938233892;0,895259838;0,964279539;0,017001335
S;1;1;91;1;1;2;0,9477128;0,926940803;0,962815871;0,009017686
S;1;1;92;1;1;2;0,973786674;0,956133402;0,984451255;0,006943905
S;1;1;93;1;1;2;0,943423955;0,821831223;0,983682362;0,034996873
S;1;1;94;1;1;2;0,930089956;0,883550826;0,958894931;0,018630246
S;1;1;95;1;1;2;0,933467876;0,907691313;0,952423787;0,011263153
S;1;1;96;1;1;2;0,978152957;0,961764118;0,98760765;0,006286693
S;1;1;97;1;1;2;0,910642973;0,753663606;0,971384504;0,049955272
S;1;1;98;1;1;2;0,895690971;0,826793583;0,939198022;0,027988866
S;1;1;99;1;1;2;0,928363838;0,90130467;0,94842872;0,0118764
S;1;1;100;1;1;2;0,970602325;0,951555501;0,982299846;0,00756023
S;1;1;101;1;1;2;0,953745344;0,767650797;0,99228907;0,04121484
S;1;1;102;1;1;2;0,884541691;0,819621917;0,928144631;0,027218701
S;1;1;103;1;1;2;0,956282927;0,937237765;0,969735465;0,008142159
S;1;1;104;1;1;2;0,953924821;0,925418612;0,971866728;0,011480403
S;1;1;105;1;1;2;0,97378364;0,822026658;0,996663437;0,027152847
S;1;1;106;1;1;2;0,905827861;0,854795957;0,940179758;0,021369549
S;1;1;107;1;1;2;0,943162357;0,920064548;0,959876978;0,010005257
S;1;1;108;1;1;2;0,953252781;0,925393786;0,97103446;0,01130258
S;1;1;109;1;1;2;0,959802267;0,84370873;0,990619965;0,029267713
S;1;1;110;1;1;2;0,916015124;0,863956666;0,949321373;0,021228635
S;1;1;111;1;1;2;0,947182817;0,924712105;0,963213636;0,009660736
S;1;1;112;1;1;2;0,960498876;0,935318184;0,976126909;0,010060445
S;1;1;113;1;1;2;0,882208937;0,720701706;0,956021859;0,056495043
S;1;1;114;1;1;2;0,922322836;0,860563962;0,958060629;0,023918377
S;1;1;115;1;1;2;0,954762117;0,935408619;0,968511936;0,008299471
S;1;1;116;1;1;2;0,973545654;0,953473291;0,985093859;0,007692707
S;1;1;117;1;1;2;0,760340062;0,5192748;0,903082356;0,100167581
S;1;1;118;1;1;2;0,999998422;0,999986207;0,99999982;0,000001745
S;3;3;36;1;2;2;0,889336653;0,852249985;0,918009789;0,016651801
S;3;3;37;1;2;2;0,991430269;0,709690868;0,999817384;0,016719612
S;3;3;38;1;2;2;0,943922761;0,903615315;0,967971368;0,015805721
S;3;3;39;1;2;2;0,935194856;0,905399319;0,95606138;0,01269803
S;3;3;40;1;2;2;0,91285798;0,876743754;0,939125397;0,015710456
S;3;3;41;1;2;2;0,999989747;0,998318515;0,999999938;0,000026686
S;3;3;42;1;2;2;0,90939729;0,865585893;0,939919825;0,018657026
S;3;3;43;1;2;2;0,927849232;0,898865161;0,948998118;0,012618215
S;3;3;44;1;2;2;0,940480909;0,913988151;0,959178016;0,011331305
S;3;3;45;1;2;2;0,999993452;0,999942515;0,999999254;0,000007258
S;3;3;46;1;2;2;0,935704678;0,897376209;0,960350526;0,015636068
S;3;3;47;1;2;2;0,901820542;0,864488984;0,929704006;0,016467263
S;3;3;48;1;2;2;0,913684733;0,881320679;0,937845483;0,014263393
S;3;3;49;1;2;2;0,949569042;0,856407028;0,983455895;0,028088564
S;3;3;50;1;2;2;0,921727699;0,865748377;0,955563229;0,022165587
S;3;3;51;1;2;2;0,892055754;0,845836444;0,925636449;0,020123214
S;3;3;52;1;2;2;0,945666104;0,906751858;0,968897718;0,015260807
S;3;3;53;1;2;2;0,915759202;0,821943352;0,962405513;0,033711438
S;3;3;54;1;2;2;0,892701651;0,836453933;0,931195595;0,023778358
S;3;3;55;1;2;2;0,94211592;0,913662358;0,961586533;0,011977633
S;3;3;56;1;2;2;0,932835405;0,898160085;0,956278903;0,014516957
S;3;3;57;1;2;2;0,984383085;0,744010153;0,999269028;0,024132073
S;3;3;58;1;2;2;0,905194578;0,851621411;0,940770061;0,022283977
S;3;3;59;1;2;2;0,918753898;0,884215413;0,9436462;0,014950597
S;3;3;60;1;2;2;0,937561997;0,907016021;0,958532149;0,012883942
S;3;3;61;1;2;2;0,982237462;0,741488297;0,999062883;0,02633988
S;3;3;62;1;2;2;0,902258666;0,847418184;0,938811765;0,022860632
S;3;3;63;1;2;2;0,917758384;0,882575239;0,943079722;0,015219835
S;3;3;64;1;2;2;0,931738922;0,899985301;0,953927198;0,01352024
S;3;3;65;1;2;2;0,967441035;0,877094767;0,991981889;0,022923474
S;3;3;66;1;2;2;0,902590182;0,848405219;0,938804631;0,022617009
S;3;3;67;1;2;2;0,924757697;0,891750652;0,948284013;0,014202631
S;3;3;68;1;2;2;0,929357093;0,896353821;0,952409341;0,014051745
S;3;3;69;1;2;2;0,992839217;0,791149187;0,999802985;0,013058577
S;3;3;70;1;2;2;0,909381689;0,859477143;0,942744044;0,020818377
S;3;3;71;1;2;2;0,91437074;0,879289243;0,939952955;0,015279575
S;3;3;72;1;2;2;0,938072763;0,906469047;0,959475125;0,013236823
S;3;3;73;1;2;2;0,966741961;0,822706478;0,994538077;0,030098848
S;3;3;74;1;2;2;0,898115873;0,842859156;0,935430731;0,02319366
S;3;3;75;1;2;2;0,86381703;0,820703013;0,897854111;0,019580821
S;3;3;76;1;2;2;0,93563206;0,895964559;0,960835933;0,016083604
S;3;3;77;1;2;2;0,962050423;0,822142923;0,992858626;0,03170124
S;3;3;78;1;2;2;0,885128898;0,823071452;0,927341279;0,026177641
S;3;3;79;1;2;2;0,854585231;0,809196933;0,890635775;0,020683589
S;3;3;80;1;2;2;0,956958561;0,928074801;0,974561103;0,011434348
S;3;3;81;1;2;2;0,978862663;0,831917219;0,997697431;0,023604898
S;3;3;82;1;2;2;0,904365771;0,843272049;0,94324745;0,024884146
S;3;3;83;1;2;2;0,854366594;0,81060441;0,889396694;0,020017432
S;3;3;84;1;2;2;0,94032257;0,903074913;0,963829518;0,015042589
S;3;3;85;1;2;2;0,999985709;0,999916798;0,999997545;0,000012845
S;3;3;86;1;2;2;0,877593335;0,813547643;0,921755413;0,027217865
S;3;3;87;1;2;2;0,908890828;0,878530309;0,932248157;0,013586512
S;3;3;88;1;2;2;0,924056739;0,882363975;0,951780211;0,017321186
S;3;3;89;1;2;2;0,999986186;0,999368546;0,999999698;0,000026944
