Index;Value;Cl-;Cl+;SE ;beta
1;0,245659387;-0,127239713;0,618558487;0,190254643;IS1
2;0,428301536;0,107487262;0,74911581;0,163680752;IS1
3;-0,754656301;-1,122149999;-0,387162603;0,187496785;IS1
4;0,067383163;-0,20465972;0,339426046;0,138797389;IS2
5;0,014481907;-0,35720145;0,386165264;0,189634366;IS3
6;0,656132883;0,172761683;1,139504083;0,246617959;IS4
7;-4,241492101;-4,435524658;-4,047459544;0,098996202;perte_col
8;3,133105617;2,716619068;3,549592166;0,212493137;S_prin_d1
9;2,414926641;2,193194061;2,636659221;0,113128867;S_prin_d2
10;3,075431178;2,780509799;3,370352557;0,150470091;S_prin_d3
11;5,278098763;4,420405371;6,135792155;0,437598669;S_ete
12;2,79613756;2,427610923;3,164664197;0,188023794;S_aut_d1
13;2,219302352;2,053085457;2,385519247;0,084804538;S_aut_d2:3
14;3,167482803;2,978240608;3,356724998;0,09655214;S_hiv_d1:2
15;2,759515682;2,570557708;2,948473656;0,09640713;S_hiv_d3
16;-1,005540991;-1,430319974;-0,580762008;0,216723971;col_ete_d2
17;-1,566700793;-2,339244908;-0,794156678;0,394155161;col_ete_d3
18;-0,004880001;-0,234883037;0,225123035;0,117348488;col_aut_d2
19;-0,128266748;-0,417592485;0,161058989;0,147615172;col_aut_d3
20;-0,603620563;-0,812485264;-0,394755862;0,106563623;col_hiv_d2
21;-0,866027437;-1,047667756;-0,684387118;0,092673632;col_hiv_d3
22;0,019160653;-0,211758298;0,250079604;0,117815792;col_prin_d2
23;-0,393622994;-0,741414805;-0,045831183;0,177444802;col_prin_d3
24;-2,021273845;-2,560399657;-1,482148033;0,27506419;pcap_heterog.
25;0,998172687;0,862687764;1,13365761;0,069124961;pcap_sex
26;-3,484169421;-4,771572417;-2,196766425;0,656838263;pcap
27;-4,226721145;-5,308856091;-3,144586199;0,552109666;pcap
28;-3,436675964;-4,012406442;-2,860945486;0,29374004;pcap
29;-2,886754374;-3,32130574;-2,452203008;0,221709881;pcap
30;-3,361166669;-3,786884053;-2,935449285;0,217202747;pcap
31;-3,187046969;-3,573328554;-2,800765384;0,197082441;pcap
32;-3,370710754;-3,754351687;-2,987069821;0,19573517;pcap
33;-2,989143061;-3,333557955;-2,644728167;0,175721885;pcap
34;-4,496879461;-5,011614893;-3,982144029;0,262620118;pcap
35;-3,092512454;-3,439812691;-2,745212217;0,177193999;pcap
36;-3,354483559;-3,719467644;-2,989499474;0,18621637;pcap
37;-3,74802044;-4,155194984;-3,340845896;0,207742114;pcap
38;-3,1060241;-3,440716335;-2,771331865;0,170761344;pcap
39;-3,278183863;-3,634575029;-2,921792697;0,181832228;pcap
40;-2,695443957;-3,020887038;-2,370000876;0,166042388;pcap
41;-2,879203159;-3,206170626;-2,552235692;0,166820136;pcap
42;-3,266529106;-3,61048414;-2,922574072;0,175487262;pcap
43;-3,7362876;-4,121607451;-3,350967749;0,196591761;pcap
44;-2,930321839;-3,244097574;-2,616546104;0,160089661;pcap
45;-3,649932647;-4,009147211;-3,290718083;0,183272737;pcap
46;-3,408276865;-3,770392539;-3,046161191;0,184752895;pcap
47;-3,698873601;-4,076343155;-3,321404047;0,192586507;pcap
48;-3,142348501;-3,471045638;-2,813651364;0,167702621;pcap
49;-4,016553196;-4,406158255;-3,626948137;0,198778091;pcap
50;-3,713033003;-4,093741906;-3,3323241;0,194239236;pcap
51;-3,097320111;-3,425505237;-2,769134985;0,167441391;pcap
52;-3,152619605;-3,491016376;-2,814222834;0,172651414;pcap
53;-3,494116475;-3,864938765;-3,123294185;0,189195046;pcap
54;-3,631579952;-4,011231442;-3,251928462;0,19369974;pcap
55;7,081642368;7,062702812;7,100581924;0,009663039;recov
56;-0,110311342;-2,35210511;2,131482426;1,143772331;recov
57;-0,576206186;-1,764889796;0,612477424;0,60647123;recov
58;0,077238949;-1,044811662;1,19928956;0,572474802;recov
59;0,261521033;-0,841109142;1,364151208;0,562566416;recov
60;-0,8190146;-1,751400485;0,113371285;0,475707084;recov
61;0,299764792;-0,839738008;1,439267592;0,58137898;recov
62;-1,176093357;-1,96674232;-0,385444394;0,403392328;recov
63;-1,172362428;-1,937274847;-0,407450009;0,390261438;recov
64;-1,561734294;-2,245849062;-0,877619526;0,349038147;recov
65;-1,315891474;-2,000666491;-0,631116457;0,349375009;recov
66;-0,194761184;-0,802969956;0,413447588;0,310310598;recov
67;-0,789670413;-1,446424758;-0,132916068;0,335078748;recov
68;-0,523698021;-1,109778716;0,062382674;0,299020763;recov
69;-1,772504235;-2,449851137;-1,095157333;0,345585154;recov
70;-0,035282487;-0,712661844;0,64209687;0,345601713;recov
71;-0,754719324;-1,477968408;-0,03147024;0,369004635;recov
72;0,827603507;0,130764644;1,52444237;0,355530032;recov
73;-1,122579547;-1,545730602;-0,699428492;0,215893395;recov
74;-2,034366467;-2,480238739;-1,588494195;0,227485853;recov
75;-0,076917099;-0,57855765;0,424723452;0,255939056;recov
76;-1,514415435;-1,97036758;-1,05846329;0,232628645;recov
77;-1,258808663;-1,641443993;-0,876173333;0,195222107;recov
78;0,313772162;-0,305436875;0,932981199;0,315922978;recov
79;-1,673935891;-2,134240539;-1,213631243;0,23484931;recov
80;-1,714945058;-2,142117617;-1,287772499;0,217945183;recov
81;1,264476786;0,02420069;2,504752882;0,632793927;recov
82;-1,191090657;-1,644095519;-0,738085795;0,231124929;recov
83;-1,896834998;-2,300121904;-1,493548092;0,205758626;recov
84;0,712778925;-0,02203661;1,44759446;0,374905885;recov
85;-2,317658982;-2,841095037;-1,794222927;0,267059212;recov
86;-1,288081223;-1,734246962;-0,841915484;0,227635581;recov
87;-0,44910934;-1,188729691;0,290511011;0,377357322;recov
88;-1,886254217;-2,35730435;-1,415204084;0,2403317;recov
89;-1,479516748;-1,948509095;-1,010524401;0,23928181;recov
90;0,321313851;-0,390852667;1,033480369;0,363350264;recov
91;-1,829793776;-2,341684502;-1,31790305;0,261168738;recov
92;-1,426239458;-1,848845912;-1,003633004;0,215615538;recov
93;0,366665079;-0,499684582;1,23301474;0,442015133;recov
94;-1,693420797;-2,203609182;-1,183232412;0,260300196;recov
95;-1,464742874;-1,865476619;-1,064009129;0,204455992;recov
96;0,105489931;-0,39739062;0,608370482;0,25657171;recov
97;-1,812887236;-2,275492251;-1,350282221;0,236022967;recov
98;-1,496967319;-1,928734911;-1,065199727;0,220289588;recov
99;0,460775989;-0,289407679;1,210959657;0,382746769;recov
100;-1,89055559;-2,373627151;-1,407484029;0,246465082;recov
101;-1,455069783;-1,849999337;-1,060140229;0,20149467;recov
102;-0,189993438;-0,586355271;0,206368395;0,202225425;recov
103;-1,004326542;-1,483766069;-0,524887015;0,244612004;recov
104;-1,565289935;-1,940398837;-1,190181033;0,191382093;recov
105;-0,061526929;-0,451912475;0,328858617;0,199176299;recov
106;-1,522949084;-2,050987509;-0,994910659;0,26940736;recov
107;-1,774248403;-2,148082549;-1,400414257;0,190731707;recov
108;-0,019896802;-0,385010352;0,345216748;0,186282423;recov
109;-1,065163288;-1,519235354;-0,611091222;0,231669422;recov
110;-1,333247367;-1,737869384;-0,92862535;0,206439805;recov
111;-0,74877177;-1,091640844;-0,405902696;0,174933201;recov
112;-0,556044455;-0,987382455;-0,124706455;0,220070408;recov
113;-1,971641515;-2,37476613;-1,5685169;0,205675824;recov
114;-0,231744215;-0,651665182;0,188176752;0,214245391;recov
115;-1,467611812;-2,049942429;-0,885281195;0,297107458;recov
116;-1,942480481;-2,340674009;-1,544286953;0,203159963;recov
117;0,095548759;-0,326445828;0,517543346;0,215303361;recov
118;-1,770169714;-2,359701053;-1,180638375;0,300781296;recov
119;-1,499735024;-1,930285357;-1,069184691;0,219668537;recov
120;0,111448017;-0,339114341;0,562010375;0,229878754;recov
121;-1,502931699;-2,051060456;-0,954802942;0,279657529;recov
122;-1,339008489;-1,782076993;-0,895939985;0,226055359;recov
123;-0,822186514;-1,144592304;-0,499780724;0,16449275;recov
124;-0,971273246;-1,403594085;-0,538952407;0,220571857;recov
125;-1,582230511;-1,979292608;-1,185168414;0,202582702;recov
126;-0,329788835;-0,748927871;0,089350201;0,213846447;recov
127;-0,892807344;-1,53818584;-0,247428848;0,329274743;recov
128;-1,656004824;-2,080422165;-1,231587483;0,21653946;recov
129;-0,39054584;-0,821775266;0,040683586;0,220015013;recov
130;-1,080043947;-1,673865996;-0,486221898;0,302970433;recov
131;-1,951703246;-2,41515828;-1,488248212;0,23645665;recov
132;-0,784778942;-1,396113863;-0,173444021;0,311905572;recov
133;-1,667719247;-2,34967264;-0,985765854;0,347935405;recov
134;-11,63398274;-12,0037776;-11,26418788;0,188670847;recov
135;-2,062707384;-2,252318431;-1,873096337;0,09674033;col_obs_het_all_eq
136;-2,008674794;-3,401513467;-0,615836121;0,710631976;col_obs
137;-4,635168038;-7,568953105;-1,701382971;1,496829116;col_obs
138;-2,636526793;-3,491586802;-1,781466784;0,436255107;col_obs
139;-1,981734953;-2,482422573;-1,481047333;0,255452868;col_obs
140;-2,085367938;-2,530678851;-1,640057025;0,227199445;col_obs
141;-2,0068454;-2,408671056;-1,605019744;0,20501309;col_obs
142;-1,641679549;-1,966791868;-1,31656723;0,165873632;col_obs
143;0,394215536;0,141023447;0,647407625;0,129179637;col_obs
144;-1,708520364;-2,037538072;-1,379502656;0,167866177;col_obs
145;-0,560199684;-0,863594756;-0,256804612;0,154793404;col_obs
146;-1,140301833;-1,436299975;-0,844303691;0,15101946;col_obs
147;-1,327536567;-1,641478404;-1,01359473;0,160174407;col_obs
148;-0,457699034;-0,780351464;-0,135046604;0,164618587;col_obs
149;-1,864411829;-2,235403845;-1,493419813;0,189281641;col_obs
150;-0,605848088;-0,904801976;-0,3068942;0,152527494;col_obs
151;-0,164014268;-0,436913144;0,108884608;0,13923412;col_obs
152;0,060037823;-0,246580301;0,366655947;0,156437818;col_obs
153;0,357125535;0,073526822;0,640724248;0,144693221;col_obs
154;0,40104893;0,106326549;0,695771311;0,150368562;col_obs
155;-1,429428744;-1,810217309;-1,048640179;0,19427988;col_obs
156;-1,260863537;-1,646744289;-0,874982785;0,196877935;col_obs
157;-1,268124054;-1,664001057;-0,872247051;0,201978063;col_obs
158;-0,84175171;-1,184732452;-0,498770968;0,174990175;col_obs
159;-0,717910989;-1,105336596;-0,330485382;0,197666126;col_obs
160;-1,073254565;-1,523267721;-0,623241409;0,229598549;col_obs
161;-0,496186142;-0,836278059;-0,156094225;0,173516284;col_obs
162;-0,740084317;-1,154835374;-0,32533326;0,211607682;col_obs
163;-0,659590007;-1,085746875;-0,233433139;0,217426974;col_obs
164;-0,275401978;-0,728422332;0,177618376;0,231132834;col_obs
165;-2,009518077;-2,09763394;-1,921402214;0,044957073;het_obs_fall
166;-0,814491574;-1,595747538;-0,03323561;0,398599982;col_obs
167;-1,168971152;-1,691366553;-0,646575751;0,266528266;col_obs
168;0,014867658;-0,337465426;0,367200742;0,179761778;col_obs
169;-0,523671729;-0,821476792;-0,225866666;0,151941359;col_obs
170;0,107910069;-0,147173773;0,362993911;0,130144817;col_obs
171;0,655925707;0,421880719;0,889970695;0,119410708;col_obs
172;0,279970414;0,05553768;0,504403148;0,114506497;col_obs
173;-0,170767223;-0,372347699;0,030813253;0,102847182;col_obs
174;0,427040297;0,224211264;0,62986933;0,103484201;col_obs
175;0,317928011;0,109024448;0,526831574;0,106583451;col_obs
176;-0,271164479;-0,470447416;-0,071881542;0,101674968;col_obs
177;0,168818572;-0,043684396;0,38132154;0,108419881;col_obs
178;0,712656197;0,48718443;0,938127964;0,115036616;col_obs
179;0,272142989;0,061618561;0,482667417;0,107410423;col_obs
180;0,313743405;0,095066754;0,532420056;0,11156972;col_obs
181;0,643352462;0,423278112;0,863426812;0,112282832;col_obs
182;0,618906491;0,381500743;0,856312239;0,121125382;col_obs
183;0,561278664;0,322082964;0,800474364;0,122038622;col_obs
184;0,544553936;0,288869492;0,80023838;0,130451247;col_obs
185;1,260114758;1,039551878;1,480677638;0,112532081;col_obs
186;0,768298415;0,507964614;1,028632216;0,132823368;col_obs
187;0,985398573;0,713254147;1,257542999;0,138849197;col_obs
188;0,571502239;0,337978728;0,80502575;0,119144648;col_obs
189;1,027520956;0,740570653;1,314471259;0,146403216;col_obs
190;0,63136928;0,364402856;0,898335704;0,136207359;col_obs
191;1,233987089;0,962431559;1,505542619;0,13854874;col_obs
192;1,193652441;0,93900361;1,448301272;0,129922873;col_obs
193;1,045074102;0,771096891;1,319051313;0,139784291;col_obs
194;0,648339477;0,362678737;0,934000217;0,145745275;col_obs
195;0,419321839;0,137418139;0,701225539;0,143828418;col_obs
196;-1,673084787;-1,960079068;-1,386090506;0,146425654;het_obs_winter
197;-0,318362347;-1,013225754;0,37650106;0,354522147;col_obs
198;-3,080259755;-4,119723874;-2,040795636;0,530338836;col_obs
199;-2,647538739;-3,311043735;-1,984033743;0,338522957;col_obs
200;-3,083483118;-3,700957168;-2,466009068;0,31503778;col_obs
201;-2,712230905;-3,163502364;-2,260959446;0,23024054;col_obs
202;-1,546579635;-1,805914347;-1,287244923;0,132313629;col_obs
203;-1,813658326;-2,07359366;-1,553722992;0,132620069;col_obs
204;-1,67002193;-1,904163402;-1,435880458;0,119459935;col_obs
205;-0,558233418;-0,749722624;-0,366744212;0,097698575;col_obs
206;-2,849915796;-3,207645283;-2,492186309;0,182515044;col_obs
207;-1,690954801;-1,924892504;-1,457017098;0,119355971;col_obs
208;-1,36155209;-1,589269654;-1,133834526;0,116182431;col_obs
209;-1,501763048;-1,746148683;-1,257377413;0,124686548;col_obs
210;-1,402247866;-1,647076671;-1,157419061;0,124912656;col_obs
211;-1,028794128;-1,267204923;-0,790383333;0,121638161;col_obs
212;-1,010403683;-1,243597959;-0,777209407;0,118976672;col_obs
213;-0,865160546;-1,125520803;-0,604800289;0,132836866;col_obs
214;-0,457609552;-0,685132178;-0,230086926;0,116082972;col_obs
215;-0,324863261;-0,543319091;-0,106407431;0,111457056;col_obs
216;-0,350305556;-0,584010614;-0,116600498;0,119237274;col_obs
