Index;Value;Cl-;Cl+;SE ;beta
98;-1,715111984;-2,286001834;-1,144222135;0,291270331;recov
99;-1,509429548;-2,11070716;-0,908151936;0,306774292;recov
100;0,221307971;-0,773348024;1,215963966;0,507477549;recov
101;-1,834050716;-2,389397637;-1,278703796;0,283340266;recov
102;-1,541078948;-2,024878135;-1,05727976;0,24683632;recov
103;0,604365015;-0,0827412;1,291471229;0,350564395;recov
104;-1,91221415;-2,437836182;-1,386592118;0,268174506;recov
105;-1,46582277;-1,954201502;-0,977444037;0,249172823;recov
106;-0,173930576;-0,524370988;0,176509836;0,178796129;recov
107;-0,999549213;-1,540230933;-0,458867492;0,275858021;recov
108;-1,581201277;-2,059428784;-1,10297377;0,243993626;recov
109;-0,047085883;-0,473014718;0,378842952;0,21731063;recov
110;-1,52026183;-2,055176222;-0,985347438;0,272915506;recov
111;-1,790242475;-2,25330742;-1,327177531;0,236257625;recov
112;-0,005993146;-0,517086878;0,505100585;0,260762108;recov
113;-1,062852397;-1,845527909;-0,280176886;0,399324241;recov
114;-1,351272094;-1,789196377;-0,913347812;0,223430756;recov
115;-0,738983042;-1,178825932;-0,299140151;0,224409638;recov
116;-0,553911746;-1,326041793;0,218218301;0,393943901;recov
117;-1,988413335;-2,489854609;-1,48697206;0,255837385;recov
118;-0,219990916;-0,645885864;0,205904032;0,217293341;recov
119;-1,466051939;-2,155520977;-0,776582902;0,351769917;recov
120;-1,959237369;-2,446949832;-1,471524906;0,248832889;recov
121;0,109039452;-0,4694411;0,687520004;0,295143139;recov
122;-1,768960275;-2,404955293;-1,132965257;0,324487254;recov
123;-1,518119933;-2,052536317;-0,983703549;0,27266142;recov
124;0,124841612;-0,556003696;0,80568692;0,347370055;recov
125;-1,501458881;-2,11775718;-0,885160582;0,314437908;recov
126;-1,357965362;-1,877869344;-0,83806138;0,265257134;recov
127;-0,81345065;-1,285518557;-0,341382744;0,240850973;recov
128;-0,970563327;-1,987808364;0,04668171;0,51900257;recov
129;-1,600604789;-2,090897789;-1,110311789;0,25014949;recov
130;-0,319558163;-0,78994672;0,150830395;0,239994162;recov
131;-0,891970509;-1,522146413;-0,261794605;0,321518318;recov
132;-1,674369919;-2,268871892;-1,079867947;0,303317333;recov
133;-0,38067554;-0,828963918;0,067612839;0,228718561;recov
134;-1,079678575;-1,70695635;-0,452400801;0,320039681;recov
135;-1,96936379;-2,462048431;-1,47667915;0,251369715;recov
136;-0,776208868;-1,67820436;0,125786623;0,460201781;recov
137;-1,66745847;-2,430256463;-0,904660476;0,38918265;recov
